pid,field,outcome_var,measured_dist,estimator,gt_label,note
doi:10.7910/DVN/HRK5HI,political science / religious conflict,hindu_hc,count,lm.cluster,mismatch,"Hate crimes against Hindus by Indian state-year. Code: miceadds::lm.cluster(hindu_hc ~ after + after:treat3 + factor(state) + factor(year), cluster='state') in hcanalysis.R. Outcome is a raw event count (0-7); King (1988) critique applies directly — Poisson/NegBin appropriate."
doi:10.7910/DVN/EVLKBN,public policy / gun control,total,count,regress,mismatch,"Monthly firearm background checks per state. Code collapses to national monthly totals then: regress total sandyhookp1-sandyhookp5 monthdv2-monthdv12 yrdv2009-yrdv2015 in replication_science.do. Outcome is an event count with massive spread (262 to 541978); OLS Gaussian assumption violated — King (1988) count model critique applies."
doi:10.7910/DVN/WOEWJ3,history / WWI propaganda,krieg_positive_share,proportion,reg,mismatch,"Share of positive war-related letter content by WWI NSDAP supporter. Code: reg krieg_positive_share i.civilian_n, r in table_3.do. Outcome is bounded [0,1]; OLS can predict outside unit interval and heteroskedasticity is structural. Beta regression or fractional logit appropriate per Papke & Wooldridge (1996)."
doi:10.7910/DVN/WOEWJ3,history / WWI propaganda,krieg_eval_dummy,binary,reg,mismatch,"Binary indicator of positive war evaluation in WWI letter. Code: reg krieg_eval_dummy i.civilian_n, r in table_3.do. Explicit LPM; soft/debated mismatch — LPM predictions can exceed [0,1] and heteroskedasticity is structural. Logit/probit preferred per standard binary outcome practice."
doi:10.7910/DVN/JE0EVI,energy policy / global electrification,ahu_total_w99,proportion,xtreg,mismatch,"Household electrification rate from Aklin, Harish & Urpelainen (Energy Policy). Code: xtreg ahu_total_w99 time, fe cluster(ccode) in Aklin et al. Replication Code.do. Profiler classifies as 'continuous' because scale is 0-100 not 0-1 (known scale-masking failure mode); substantively this is a bounded proportion. OLS on a rate bounded at 0 and 100 violates Gaussian support assumption."
doi:10.7910/DVN/QY1OWG,conflict studies / Afghanistan civil war,eligible,binary,reg,mismatch,"Binary eligibility for ISAF condolence aid in Afghanistan ACAP data. Code: reg eligible isafresp casualties totalharm property in CIVCAS_Rep.do (Table S2). LPM on 0/1 indicator — soft/debated mismatch. Logit or probit preferred for binary outcome; structural heteroskedasticity and out-of-bounds predictions possible."
doi:10.7910/DVN/SGTOUW,political science / police killings and voter turnout,turnout_2016_voter,binary,lm.cluster,mismatch,"Individual voter turnout in 2016 from matched sample around police killings. Code in pk_voter.Rmd: lm.cluster(turnout ~ as.factor(year) + treatment_dummy + did). Paper explicitly states 'I use linear probability models instead of logit models.' LPM soft mismatch — author is aware; structural heteroskedasticity and [0,1] violations are standard LPM concerns."
doi:10.7910/DVN/DUO7IE,international relations / military effectiveness,index,ordinal,reg,mismatch,"Military institutional capacity index (0-4 scale) from Divided Armies (Lyall & Wilson) replication data. Code: reg index mic_mean if yrstart<1918, cluster(ccode) in DividedArmies.do. OLS on an ordered discrete scale treats equal distances between categories — a softer mismatch; ordered logit/probit more appropriate."
doi:10.7910/DVN/DUO7IE,international relations / military effectiveness,bpi,proportion,reg,mismatch,"Battle performance index (proportion of battles won) from Divided Armies replication data. Code: reg bpi mic_mean if yrstart<1918, cluster(ccode) in DividedArmies.do. Outcome is bounded [0,1] fraction; OLS can predict outside unit interval. Fractional logit or beta regression appropriate per Papke & Wooldridge (1996)."
doi:10.7910/DVN/29394,international relations / human rights reporting,mediaraw,count,poisson,match,"Raw count of media articles covering human rights violations by conflict-year from Burgoon et al. replication data. Code: poisson mediaraw UKdist USAdist s3uni Amnesty3 unpko3 tc3 paritystrong3 lpw3 ethnic3 lnpgdppc3 lnpop3 demdum3 in IIfinaldofile.do. Poisson correctly applied to count outcome — estimator class matches measured distribution class."
doi:10.7910/DVN/DDTCED,political science / terrorism,GTDDomestic,count,zinb,match,"Wilson & Piazza 'Autocracies and Terrorism'. GTDDomestic = domestic terrorist attacks per country-year from GTD. Profiler: all integers, non-negative, skew=8.17>>2 -> count. Author correctly uses zinb to handle excess zeros and overdispersion."
doi:10.7910/DVN/QKGQQI,political science / ethnic conflict,attack,count,menbreg,match,"Leader Nationalism and Ethnic Identity replication. attack = terrorist attacks per leader-ethnic-group-year. Profiler: all integers, non-negative, extreme skew=16.29 -> count. Authors use menbreg (Table 2) and nbreg (Table 3 robustness) -- correct count models for overdispersed panel count data."
doi:10.7910/DVN/28245,international relations / maritime conflict,nmidiss,count,nbreg,match,"Ruling the Sea (UNCLOS maritime disputes). nmidiss = number of MID disputes involving maritime claims per dyad-year. Despite range {0,1,2} and distinct=3, skew=6.15 >> 2 so profiler correctly classifies as count (not ordinal). Author uses nbreg in Table 2."
doi:10.7910/DVN/WNSAKL,political science / terrorism,attacks,count,nbreg,match,"Terror Groups and Domestic Agenda. attacks = terrorist attacks per country-month; full file is 242MB so a 5MB range-header sample was profiled. Extreme skew=32.78, non-negative integers -> count. nbreg is the primary estimator in the replication code."
doi:10.7910/DVN/VCYOJV,political science / hate crimes,hcam1,count,lm,mismatch,"Hate crimes against religious minorities (data from doi:10.7910/DVN/HRK5HI). hcam1 = raw hate crime incidents per county-year. Profiler: all non-negative integers, skew=4.93 -> count. R code (VCYOJV) uses plm(hcam1 ~ ., model='within') = OLS panel FE. Count outcome with many zeros and high skew fit by linear model -- classic King (1988) mismatch."
doi:10.7910/DVN/MJWO0X,public health / governance,ind_corrup_n,proportion,regress,mismatch,"Health governance in Brazilian municipalities. ind_corrup_n = normalized corruption index bounded in [0,1]. Profiler: all values in [0,1], 99%+ in [0,1] -> proportion. Stata code uses regress ind_corrup_n, which is OLS on a fractional/proportion outcome. Papke & Wooldridge (1996) show OLS on proportions can yield predictions outside [0,1] and is inefficient; fractional probit/betareg is appropriate."
doi:10.7910/DVN/Y0OIRY,environmental policy / energy,number_of_disconnections,count,reg,mismatch,"Utility disconnections and extreme heat in California. number_of_disconnections = count of electricity disconnection events per zip-code-month. Profiler: all positive integers, skew=2.81 -> count. Stata code uses reg (OLS) on this count outcome. With mean=44 and max=716 there is also substantial overdispersion; Poisson or negative binomial would be appropriate."
doi:10.7910/DVN/ZG2GY9,political science / legislative attendance,pctabsent,proportion,reg,mismatch,"Roll-call absence rate (proportion of votes missed) for US House members across congresses. Code: reg pctabsent hmeddist1 hmeddist2 ... cluster(icpsr) robust. Profiler: all 15142 obs strictly in [0,1], 7403 distinct values. Classic King-style proportion-into-OLS mismatch; predicted values can fall outside [0,1] and Gaussian error is inappropriate for a bounded proportion."
doi:10.7910/DVN/23624,political science / electoral RD,dem_share_next,proportion,reg,mismatch,"Democratic vote share in the NEXT election (regression-discontinuity design). Code line 162: reg dem_share_next dem_win if close==1, robust cluster(stateyear). Profiler: all 31512 obs in (0,1), >10k distinct values. OLS on a proportion bounded in (0,1) is a clear mismatch; betareg or fractional probit would be appropriate."
doi:10.7910/DVN/899DIN,development economics / child marriage RCT,ysis_shareschool,proportion,reg,mismatch,"Share of younger sisters currently in school, from an RCT on reducing child marriage in Ethiopia. Code uses a foreach loop: reg `var' treated `var'_base i.pair_id ... over ysis_shareschool. Table note states 'all coefficients are estimated using multivariate ordinary least squares regression'. Profiler: 599 obs, 13 distinct values, all in [0,1]. Clear proportion-into-OLS mismatch in a development-economics RCT."
doi:10.7910/DVN/CHXJRF,political science / voter turnout,turnout_alc,proportion,xtreg,mismatch,"Municipal voter turnout rate (votes cast divided by registered voters) across Colombian municipalities. Code uses reg turnout_alc treatment_restricted ... and xtreg turnout_alc treatment_rest ..., vce(cluster codemun). Profiler: 12141 obs, all in [0,0.999], >10k distinct values. Linear (xtreg/FE) on a proportion bounded in [0,1] is a standard King-style mismatch."
